Season,Period,avg_country_temp,avg_city_temp
Autumn,1800-1849,15.671474041344489,17.584835726684567
Autumn,1850-1899,16.873801002468785,18.332557641954097
Autumn,1900-1949,17.969472866666703,19.260724133333365
Autumn,1950-1999,18.256020266666706,19.546161399999992
Autumn,2000+,18.858558228820073,20.149873560276408
Autumn,Pre-1800,12.311602826855115,12.745453710247347
Spring,1800-1849,16.261806378500868,18.030562085154603
Spring,1850-1899,16.935120675483866,18.259097661212
Spring,1900-1949,18.02171013333337,19.231117733333353
Spring,1950-1999,18.418955000000036,19.633285666666662
Spring,2000+,19.136430952380927,20.37807809523811
Spring,Pre-1800,11.103936154949782,11.55899067431851
Summer,1800-1849,23.029254833040437,24.34289407253554
Summer,1850-1899,22.57014342361212,23.558905506509046
Summer,1900-1949,22.890096599999968,23.78486393333334
Summer,1950-1999,23.13594000000005,24.032488533333325
Summer,2000+,23.742954523809484,24.635504285714305
Summer,Pre-1800,20.302982206405694,20.932542348754453
Winter,1800-1849,7.166786459168946,9.491692764318945
Winter,1850-1899,9.213609182530806,11.213910488988414
Winter,1900-1949,10.8924011333333,12.683186733333327
Winter,1950-1999,11.360729400000013,13.144081533333328
Winter,2000+,11.87855682926827,13.652366829268294
Winter,Pre-1800,3.1473584229390696,3.5545125448028676
